time,ax,ay,az,bx,by,bz
40882340.0,2228.0,600.0,22080.0,-64.0,832.0,17952.0
41284340.0,2180.0,644.0,22160.0,16.0,908.0,18144.0
41686340.0,2432.0,628.0,22144.0,-8.0,716.0,17980.0
42088340.0,2536.0,960.0,21508.0,24.0,1104.0,17704.0
42490340.0,2196.0,764.0,22096.0,-216.0,988.0,17928.0
42892340.0,2400.0,524.0,21916.0,12.0,928.0,17908.0
43294340.0,2276.0,640.0,22240.0,-24.0,856.0,17960.0
43696340.0,3800.0,-1008.0,24272.0,-468.0,240.0,21760.0
44098340.0,2084.0,720.0,21940.0,8.0,1056.0,17748.0
44500340.0,2488.0,472.0,22292.0,-44.0,844.0,18144.0
44902340.0,2168.0,596.0,21720.0,-52.0,856.0,17940.0
45304340.0,1952.0,700.0,22268.0,-184.0,784.0,18040.0
45706340.0,2276.0,496.0,22060.0,36.0,824.0,17992.0
46108340.0,2068.0,656.0,22180.0,-128.0,780.0,17960.0
46510340.0,2308.0,664.0,22088.0,72.0,964.0,17788.0
46912340.0,2168.0,640.0,22432.0,36.0,776.0,18196.0
47314340.0,2332.0,516.0,22068.0,80.0,936.0,17968.0
47716340.0,2324.0,660.0,21996.0,-4.0,780.0,17964.0
48118340.0,2084.0,440.0,22376.0,56.0,708.0,17684.0
48520340.0,2452.0,532.0,22332.0,64.0,732.0,17944.0
48922340.0,2552.0,652.0,22200.0,144.0,828.0,18132.0
49324340.0,2504.0,712.0,22244.0,24.0,872.0,17912.0
49726340.0,2252.0,688.0,22104.0,-24.0,760.0,18256.0
50128340.0,2500.0,648.0,21928.0,136.0,764.0,18072.0
50530340.0,2464.0,492.0,22168.0,-36.0,812.0,17860.0
50932352.0,2224.0,540.0,22080.0,-16.0,820.0,17904.0
51334340.0,2236.0,444.0,22520.0,-108.0,620.0,18124.0
51736340.0,2540.0,612.0,22364.0,112.0,924.0,17796.0
52138340.0,2164.0,560.0,22096.0,-100.0,852.0,17956.0
52540340.0,2260.0,624.0,22036.0,-68.0,936.0,17920.0
52942340.0,2348.0,508.0,22028.0,-116.0,832.0,18016.0
53344340.0,2260.0,532.0,22236.0,-8.0,788.0,17904.0
53746340.0,2200.0,572.0,22212.0,-40.0,752.0,18168.0
54148340.0,2260.0,600.0,22092.0,-12.0,792.0,17984.0
54550340.0,2048.0,456.0,22144.0,-64.0,820.0,18056.0
54952340.0,2192.0,620.0,22192.0,-136.0,740.0,18172.0
55354340.0,2296.0,560.0,22096.0,88.0,888.0,17880.0
55756340.0,2212.0,560.0,22084.0,60.0,844.0,18052.0
56158340.0,2336.0,516.0,22172.0,-20.0,812.0,18012.0
56560340.0,2200.0,552.0,22168.0,-44.0,904.0,17896.0
56962340.0,2108.0,468.0,22244.0,-28.0,764.0,18252.0
57364340.0,2272.0,560.0,22100.0,-60.0,840.0,18064.0
57766340.0,2288.0,672.0,22044.0,-44.0,756.0,17928.0
58168340.0,2300.0,684.0,22028.0,60.0,980.0,17792.0
58570340.0,2412.0,488.0,22224.0,-100.0,796.0,18016.0
